n_estimators,max_depth,min_samples_leaf,max_features,f1,accuracy,precision,recall
300,,2,log2,0.9681735148069056,0.9974124316239764,0.9475725221595488,0.9896901793698384
300,,2,sqrt,0.9681735148069056,0.9974124316239764,0.9475725221595488,0.9896901793698384
100,,2,sqrt,0.9679028856540302,0.9973894217192584,0.9469578783151326,0.9897953816211666
100,,2,log2,0.9679028856540302,0.9973894217192584,0.9469578783151326,0.9897953816211666
100,30.0,2,sqrt,0.967321602626584,0.9973350346717428,0.9439799749687108,0.9918468255220662
100,30.0,2,log2,0.967321602626584,0.9973350346717428,0.9439799749687108,0.9918468255220662
300,30.0,2,log2,0.9671941929361068,0.9973245756241436,0.9438325991189428,0.991741623270738
300,30.0,2,sqrt,0.9671941929361068,0.9973245756241436,0.9438325991189428,0.991741623270738
100,,10,sqrt,0.9539704848910752,0.9961636213406408,0.9122545960735372,0.9996843932460154
100,,10,log2,0.9539704848910752,0.9961636213406408,0.9122545960735372,0.9996843932460154
300,30.0,10,sqrt,0.9537789822342668,0.9961468868644822,0.911904419173744,0.9996843932460154
300,30.0,10,log2,0.9537789822342668,0.9961468868644822,0.911904419173744,0.9996843932460154
300,,10,sqrt,0.9537071885585248,0.9961406114359228,0.9117731721358664,0.9996843932460154
300,,10,log2,0.9537071885585248,0.9961406114359228,0.9117731721358664,0.9996843932460154
100,30.0,10,sqrt,0.953680935414262,0.9961385196264028,0.9117689392122056,0.9996317921203514
100,30.0,10,log2,0.953680935414262,0.9961385196264028,0.9117689392122056,0.9996317921203514
